"","origin_country_iso_code","destination_country_iso_code","total_flights"
"1","DZA","AUT",4
"2","DZA","BEL",2
"3","DZA","DNK",1
"4","DZA","FRA",103
"5","DZA","DEU",11
"6","DZA","ITA",7
"7","DZA","MLI",3
"8","DZA","MAR",6
"9","DZA","PRT",1
"10","DZA","QAT",10
"11","DZA","RUS",3
"12","DZA","SRB",2
"13","DZA","ZAF",1
"14","DZA","ESP",32
"15","DZA","CHE",6
"16","DZA","TUR",9
"17","DZA","ARE",1
"18","ARG","BRA",5
"19","ARG","ECU",2
"20","ARG","FRA",2
"21","ARG","DEU",3
"22","ARG","NLD",2
"23","ARG","PAN",2
"24","ARG","ESP",5
"25","ARG","USA",21
"26","ARG","URY",2
"27","ABW","COL",1
"28","ABW","NLD",3
"29","ABW","PRI",1
"30","ABW","USA",48
"31","AUS","BEL",2
"32","AUS","BRN",9
"33","AUS","CAN",6
"34","AUS","CHN",16
"35","AUS","DEU",4
"36","AUS","HKG",134
"37","AUS","IND",3
"38","AUS","IDN",3
"39","AUS","IRL",1
"40","AUS","ISR",2
"41","AUS","ITA",1
"42","AUS","JPN",51
"43","AUS","MAC",1
"44","AUS","MYS",112
"45","AUS","NZL",415
"46","AUS","PHL",18
"47","AUS","QAT",136
"48","AUS","SGP",385
"49","AUS","KOR",18
"50","AUS","ESP",1
"51","AUS","CHE",1
"52","AUS","TWN",84
"53","AUS","THA",26
"54","AUS","ARE",58
"55","AUS","GBR",3
"56","AUS","USA",291
"57","AUS","VNM",14
"58","AUT","BHR",1
"59","AUT","BLR",16
"60","AUT","BEL",98
"61","AUT","BGR",9
"62","AUT","CAN",2
"63","AUT","HRV",37
"64","AUT","CYP",18
"65","AUT","CZE",43
"66","AUT","DNK",29
"67","AUT","EGY",1
"68","AUT","EST",5
"69","AUT","FIN",11
"70","AUT","FRA",104
"71","AUT","DEU",743
"72","AUT","GRC",14
"73","AUT","GGY",1
"74","AUT","HKG",1
"75","AUT","HUN",39
"76","AUT","ISL",2
"77","AUT","IND",2
"78","AUT","IRL",1
"79","AUT","ISR",46
"80","AUT","ITA",169
"81","AUT","JPN",3
"82","AUT","JOR",14
"83","AUT","KAZ",1
"84","AUT","LVA",13
"85","AUT","LBN",1
"86","AUT","LTU",3
"87","AUT","LUX",34
"88","AUT","MLT",5
"89","AUT","NLD",121
"90","AUT","NOR",19
"91","AUT","POL",35
"92","AUT","PRT",14
"93","AUT","QAT",30
"94","AUT","ROU",54
"95","AUT","RUS",78
"96","AUT","SAU",1
"97","AUT","SRB",59
"98","AUT","SVK",8
"99","AUT","SVN",24
"100","AUT","ESP",128
"101","AUT","SWE",30
"102","AUT","CHE",197
"103","AUT","TWN",19
"104","AUT","THA",1
"105","AUT","TUR",119
"106","AUT","UKR",54
"107","AUT","ARE",37
"108","AUT","GBR",100
"109","AUT","USA",42
"110","BHS","MEX",1
"111","BHS","GBR",2
"112","BHS","USA",243
"113","BHR","BGD",17
"114","BHR","BLR",1
"115","BHR","BEL",1
"116","BHR","CHN",9
"117","BHR","CYP",1
"118","BHR","EGY",2
"119","BHR","FRA",1
"120","BHR","DEU",43
"121","BHR","GRC",3
"122","BHR","HKG",34
"123","BHR","IND",41
"124","BHR","ISR",3
"125","BHR","ITA",14
"126","BHR","JOR",1
"127","BHR","KEN",5
"128","BHR","KWT",111
"129","BHR","LBN",11
"130","BHR","MAC",1
"131","BHR","MYS",4
"132","BHR","MAR",8
"133","BHR","NLD",1
"134","BHR","PAK",6
"135","BHR","PHL",11
"136","BHR","QAT",17
"137","BHR","RUS",1
"138","BHR","SAU",86
"139","BHR","SGP",5
"140","BHR","KOR",7
"141","BHR","ESP",2
"142","BHR","TUR",2
"143","BHR","ARE",313
"144","BHR","GBR",39
"145","BHR","VNM",3
"146","BGD","BHR",16
"147","BGD","BEL",11
"148","BGD","CHN",3
"149","BGD","DEU",2
"150","BGD","HKG",48
"151","BGD","IND",85
"152","BGD","JPN",1
"153","BGD","KWT",39
"154","BGD","MYS",23
"155","BGD","NLD",1
"156","BGD","QAT",95
"157","BGD","RUS",4
"158","BGD","SAU",71
"159","BGD","SGP",30
"160","BGD","KOR",2
"161","BGD","ESP",11
"162","BGD","TWN",1
"163","BGD","THA",2
"164","BGD","TUR",18
"165","BGD","ARE",197
"166","BGD","GBR",4
"167","BGD","USA",2
"168","BGD","VNM",1
"169","BRB","BRA",2
"170","BRB","CAN",4
"171","BRB","GRD",4
"172","BRB","IRL",1
"173","BRB","JEY",1
"174","BRB","PAN",2
"175","BRB","PRI",8
"176","BRB","LCA",10
"177","BRB","VCT",25
"178","BRB","GBR",7
"179","BRB","USA",42
"180","BLR","AUT",20
"181","BLR","BEL",10
"182","BLR","CYP",7
"183","BLR","CZE",15
"184","BLR","EST",22
"185","BLR","FIN",16
"186","BLR","FRA",16
"187","BLR","DEU",58
"188","BLR","HUN",2
"189","BLR","ISR",10
"190","BLR","ITA",28
"191","BLR","KAZ",1
"192","BLR","LVA",19
"193","BLR","LTU",48
"194","BLR","NLD",24
"195","BLR","NOR",3
"196","BLR","POL",56
"197","BLR","PRT",1
"198","BLR","RUS",102
"199","BLR","SRB",19
"200","BLR","ESP",10
"201","BLR","SWE",17
"202","BLR","CHE",4
"203","BLR","TUR",41
"204","BLR","UKR",136
"205","BLR","ARE",27
"206","BLR","GBR",14
"207","BLR","USA",1
"208","BLR","UZB",3
"209","BEL","DZA",3
"210","BEL","ARG",1
"211","BEL","AUT",63
"212","BEL","BLR",10
"213","BEL","BRA",9
"214","BEL","BGR",1
"215","BEL","CAN",5
"216","BEL","CHN",9
"217","BEL","HRV",5
"218","BEL","CYP",4
"219","BEL","CZE",26
"220","BEL","DNK",26
"221","BEL","EST",5
"222","BEL","FIN",23
"223","BEL","FRA",247
"224","BEL","GMB",12
"225","BEL","DEU",344
"226","BEL","GRC",31
"227","BEL","HKG",28
"228","BEL","HUN",29
"229","BEL","ISL",12
"230","BEL","IND",7
"231","BEL","IRL",37
"232","BEL","ISR",55
"233","BEL","ITA",199
"234","BEL","JPN",11
"235","BEL","JEY",2
"236","BEL","JOR",2
"237","BEL","LVA",4
"238","BEL","LBN",4
"239","BEL","LUX",12
"240","BEL","MAC",1
"241","BEL","MLI",3
"242","BEL","MLT",10
"243","BEL","MAR",12
"244","BEL","NLD",110
"245","BEL","NOR",33
"246","BEL","POL",58
"247","BEL","PRT",92
"248","BEL","QAT",77
"249","BEL","ROU",53
"250","BEL","RUS",33
