"","origin_country_iso_code","destination_country_iso_code","total_flights"
"1","DZA","CAN",1
"2","DZA","FRA",18
"3","DZA","DEU",1
"4","DZA","ITA",2
"5","DZA","LBN",1
"6","DZA","MAR",1
"7","DZA","QAT",3
"8","DZA","RUS",1
"9","DZA","ESP",5
"10","DZA","TUR",1
"11","DZA","ARE",2
"12","AUS","BRN",8
"13","AUS","CAN",2
"14","AUS","CHN",49
"15","AUS","CRI",1
"16","AUS","FRA",1
"17","AUS","DEU",2
"18","AUS","HKG",220
"19","AUS","IND",13
"20","AUS","IDN",3
"21","AUS","JPN",71
"22","AUS","MAC",3
"23","AUS","MYS",89
"24","AUS","NZL",303
"25","AUS","PHL",8
"26","AUS","QAT",141
"27","AUS","SGP",348
"28","AUS","KOR",35
"29","AUS","TWN",103
"30","AUS","ARE",125
"31","AUS","GBR",1
"32","AUS","USA",267
"33","AUS","VNM",16
"34","AUT","BHR",1
"35","AUT","BLR",13
"36","AUT","BEL",68
"37","AUT","BIH",1
"38","AUT","BGR",4
"39","AUT","HRV",18
"40","AUT","CYP",18
"41","AUT","CZE",20
"42","AUT","DNK",25
"43","AUT","EST",3
"44","AUT","FIN",7
"45","AUT","FRA",80
"46","AUT","DEU",513
"47","AUT","GRC",13
"48","AUT","HUN",27
"49","AUT","ISL",2
"50","AUT","IND",1
"51","AUT","IRL",5
"52","AUT","ISR",30
"53","AUT","ITA",99
"54","AUT","JEY",1
"55","AUT","KAZ",1
"56","AUT","LVA",24
"57","AUT","LTU",1
"58","AUT","LUX",37
"59","AUT","MLT",14
"60","AUT","NLD",104
"61","AUT","NOR",14
"62","AUT","POL",43
"63","AUT","PRT",16
"64","AUT","QAT",29
"65","AUT","ROU",34
"66","AUT","RUS",53
"67","AUT","SRB",10
"68","AUT","SVK",11
"69","AUT","SVN",11
"70","AUT","ZAF",4
"71","AUT","KOR",3
"72","AUT","ESP",82
"73","AUT","SWE",31
"74","AUT","CHE",164
"75","AUT","TWN",17
"76","AUT","TUR",81
"77","AUT","UKR",41
"78","AUT","ARE",26
"79","AUT","GBR",100
"80","AUT","USA",24
"81","BHS","USA",1
"82","BHR","AUT",2
"83","BHR","BGD",7
"84","BHR","BLR",1
"85","BHR","BEL",3
"86","BHR","BGR",1
"87","BHR","CYP",1
"88","BHR","FIN",1
"89","BHR","DEU",59
"90","BHR","GRC",9
"91","BHR","HKG",56
"92","BHR","IND",49
"93","BHR","ISR",1
"94","BHR","ITA",17
"95","BHR","LBN",23
"96","BHR","MAC",1
"97","BHR","MYS",3
"98","BHR","MLT",1
"99","BHR","MAR",4
"100","BHR","NLD",1
"101","BHR","PHL",28
"102","BHR","QAT",11
"103","BHR","RUS",1
"104","BHR","SAU",47
"105","BHR","KOR",9
"106","BHR","THA",2
"107","BHR","TUR",4
