"","origin_country_iso_code","destination_country_iso_code","total_flights"
"1","DZA","AUT",2
"2","DZA","BEL",1
"3","DZA","CPV",1
"4","DZA","FRA",116
"5","DZA","DEU",7
"6","DZA","ITA",4
"7","DZA","MAR",9
"8","DZA","QAT",10
"9","DZA","RUS",1
"10","DZA","ESP",14
"11","DZA","CHE",8
"12","DZA","TUR",8
"13","DZA","ARE",2
"14","DZA","GBR",1
"15","AUS","BRN",10
"16","AUS","CHN",25
"17","AUS","DEU",1
"18","AUS","HKG",138
"19","AUS","IND",8
"20","AUS","IDN",18
"21","AUS","ISR",1
"22","AUS","ITA",1
"23","AUS","JPN",78
"24","AUS","MYS",71
"25","AUS","NLD",3
"26","AUS","NZL",138
"27","AUS","PHL",24
"28","AUS","QAT",130
"29","AUS","SGP",300
"30","AUS","KOR",19
"31","AUS","ESP",1
"32","AUS","LKA",1
"33","AUS","TWN",64
"34","AUS","THA",10
"35","AUS","ARE",67
"36","AUS","GBR",3
"37","AUS","USA",268
"38","AUS","VNM",4
"39","AUT","BLR",12
"40","AUT","BEL",57
"41","AUT","BGR",1
"42","AUT","HRV",15
"43","AUT","CYP",13
"44","AUT","CZE",28
"45","AUT","DNK",21
"46","AUT","EST",2
"47","AUT","FIN",14
"48","AUT","FRA",62
"49","AUT","DEU",403
"50","AUT","GRC",9
"51","AUT","GGY",2
"52","AUT","HUN",44
"53","AUT","ISR",13
"54","AUT","ITA",84
"55","AUT","LVA",3
"56","AUT","LTU",2
"57","AUT","LUX",23
"58","AUT","MYS",2
"59","AUT","MLT",4
"60","AUT","NLD",81
"61","AUT","NOR",9
"62","AUT","POL",14
"63","AUT","PRT",11
"64","AUT","QAT",30
"65","AUT","ROU",29
"66","AUT","RUS",65
"67","AUT","SRB",17
"68","AUT","SVK",8
"69","AUT","SVN",28
"70","AUT","KOR",1
"71","AUT","ESP",45
"72","AUT","SWE",18
"73","AUT","CHE",116
"74","AUT","TWN",15
"75","AUT","TUR",90
"76","AUT","UKR",33
"77","AUT","ARE",23
"78","AUT","GBR",47
"79","AUT","USA",15
"80","AZE","DEU",1
"81","BHS","USA",95
"82","BHR","AUS",1
"83","BHR","BGD",17
"84","BHR","BEL",4
"85","BHR","CHN",1
"86","BHR","CYP",3
"87","BHR","DEU",36
"88","BHR","GRC",5
"89","BHR","HKG",40
"90","BHR","IND",39
"91","BHR","ISR",1
"92","BHR","ITA",10
"93","BHR","KEN",2
"94","BHR","KWT",2
"95","BHR","LBN",13
"96","BHR","MYS",3
"97","BHR","MAR",3
"98","BHR","PAK",3
"99","BHR","PHL",19
"100","BHR","POL",2
"101","BHR","QAT",8
"102","BHR","RUS",2
"103","BHR","SAU",41
"104","BHR","KOR",4
"105","BHR","THA",2
"106","BHR","TUR",6
"107","BHR","ARE",276
"108","BHR","GBR",27
"109","BHR","USA",1
"110","BHR","VNM",2
"111","BGD","BHR",18
"112","BGD","BEL",2
"113","BGD","BRA",1
"114","BGD","CHN",3
"115","BGD","DEU",1
"116","BGD","HKG",28
"117","BGD","IND",133
"118","BGD","JPN",1
"119","BGD","KAZ",1
"120","BGD","KEN",1
"121","BGD","MYS",42
"122","BGD","MAR",1
"123","BGD","QAT",105
"124","BGD","RUS",2
"125","BGD","SAU",61
"126","BGD","SGP",25
"127","BGD","KOR",1
"128","BGD","ESP",11
"129","BGD","THA",2
"130","BGD","TUR",32
"131","BGD","ARE",204
"132","BGD","GBR",4
"133","BRB","BRA",2
"134","BRB","CAN",2
"135","BRB","GRD",1
"136","BRB","IRL",1
"137","BRB","PRI",3
"138","BRB","LCA",5
"139","BRB","VCT",16
"140","BRB","GBR",9
"141","BRB","USA",26
"142","BLR","AUT",16
"143","BLR","BEL",7
"144","BLR","BRA",1
"145","BLR","HRV",2
"146","BLR","CYP",6
"147","BLR","CZE",12
"148","BLR","EST",16
"149","BLR","FIN",17
"150","BLR","FRA",17
"151","BLR","DEU",40
"152","BLR","GRC",2
"153","BLR","GTM",1
"154","BLR","ITA",24
"155","BLR","KAZ",1
"156","BLR","LVA",7
"157","BLR","LTU",34
"158","BLR","LUX",1
"159","BLR","NLD",18
"160","BLR","NOR",1
"161","BLR","POL",45
"162","BLR","RUS",76
"163","BLR","SRB",19
"164","BLR","SVK",1
"165","BLR","ESP",6
"166","BLR","SWE",13
"167","BLR","CHE",3
"168","BLR","TUR",47
"169","BLR","UKR",100
"170","BLR","ARE",10
"171","BLR","GBR",9
"172","BLR","UZB",1
"173","BEL","AUT",40
"174","BEL","BHR",5
"175","BEL","BLR",7
