"","origin_country_iso_code","destination_country_iso_code","total_flights"
"1","DZA","AUT",3
"2","DZA","BEL",1
"3","DZA","FRA",63
"4","DZA","DEU",5
"5","DZA","IRL",1
"6","DZA","ITA",3
"7","DZA","MAR",5
"8","DZA","PRT",3
"9","DZA","QAT",5
"10","DZA","RUS",1
"11","DZA","ESP",7
"12","DZA","CHE",2
"13","DZA","TUR",3
"14","DZA","ARE",2
"15","DZA","GBR",1
"16","AUS","BGD",1
"17","AUS","BRN",9
"18","AUS","CHN",41
"19","AUS","HKG",177
"20","AUS","IND",12
"21","AUS","IDN",17
"22","AUS","ITA",1
"23","AUS","JPN",54
"24","AUS","MAC",2
"25","AUS","MYS",66
"26","AUS","MLT",1
"27","AUS","NZL",306
"28","AUS","PHL",19
"29","AUS","QAT",134
"30","AUS","SAU",2
"31","AUS","SGP",348
"32","AUS","KOR",25
"33","AUS","TWN",86
"34","AUS","THA",15
"35","AUS","ARE",95
"36","AUS","GBR",1
"37","AUS","USA",263
"38","AUS","VNM",12
"39","AUT","DZA",1
"40","AUT","BLR",13
"41","AUT","BEL",63
"42","AUT","BGR",1
"43","AUT","HRV",12
"44","AUT","CYP",15
"45","AUT","CZE",15
"46","AUT","DNK",25
"47","AUT","EST",3
"48","AUT","FIN",11
"49","AUT","FRA",78
"50","AUT","DEU",400
"51","AUT","GRC",4
"52","AUT","HUN",31
"53","AUT","ISL",2
"54","AUT","IRL",4
"55","AUT","IMN",1
"56","AUT","ISR",23
"57","AUT","ITA",70
"58","AUT","LVA",16
"59","AUT","LTU",1
"60","AUT","LUX",34
"61","AUT","MLT",8
"62","AUT","MAR",1
"63","AUT","NLD",101
"64","AUT","NOR",14
"65","AUT","POL",34
"66","AUT","PRT",18
"67","AUT","QAT",28
"68","AUT","ROU",25
"69","AUT","RUS",66
"70","AUT","SRB",12
"71","AUT","SVK",4
"72","AUT","SVN",27
"73","AUT","ESP",60
"74","AUT","SWE",21
"75","AUT","CHE",146
"76","AUT","TWN",16
"77","AUT","TUR",101
"78","AUT","UKR",47
"79","AUT","ARE",24
"80","AUT","GBR",61
"81","AUT","USA",28
"82","BHS","USA",8
"83","BHR","BGD",10
"84","BHR","BEL",3
"85","BHR","CHN",4
"86","BHR","CYP",1
"87","BHR","DEU",48
"88","BHR","GRC",3
"89","BHR","HKG",52
"90","BHR","IND",48
"91","BHR","IRL",1
"92","BHR","ITA",11
"93","BHR","JPN",1
"94","BHR","LBN",17
"95","BHR","MYS",4
"96","BHR","MAR",3
"97","BHR","PHL",25
"98","BHR","POL",1
"99","BHR","QAT",8
"100","BHR","RUS",1
"101","BHR","SAU",41
"102","BHR","SRB",5
"103","BHR","SVK",1
"104","BHR","KOR",6
"105","BHR","ESP",2
"106","BHR","CHE",1
"107","BHR","THA",3
"108","BHR","TUR",6
"109","BHR","ARE",406
"110","BHR","GBR",34
"111","BHR","VNM",4
"112","BGD","BHR",11
"113","BGD","BEL",2
"114","BGD","CHN",4
"115","BGD","FRA",1
"116","BGD","DEU",1
"117","BGD","HKG",21
"118","BGD","IND",108
"119","BGD","LUX",1
"120","BGD","MAC",1
"121","BGD","MYS",27
"122","BGD","QAT",87
"123","BGD","SAU",53
"124","BGD","SGP",22
"125","BGD","KOR",1
"126","BGD","ESP",7
"127","BGD","THA",5
"128","BGD","TUR",27
"129","BGD","ARE",173
"130","BGD","GBR",4
"131","BRB","CAN",4
"132","BRB","GTM",1
"133","BRB","LCA",2
"134","BRB","VCT",7
"135","BRB","GBR",3
"136","BRB","USA",7
"137","BLR","AUT",20
"138","BLR","BEL",11
"139","BLR","CYP",7
"140","BLR","CZE",14
"141","BLR","DNK",1
"142","BLR","EST",14
"143","BLR","FIN",17
"144","BLR","FRA",27
"145","BLR","DEU",51
"146","BLR","ISR",4
"147","BLR","ITA",26
"148","BLR","LVA",2
"149","BLR","LBN",1
"150","BLR","LTU",34
"151","BLR","NLD",26
"152","BLR","POL",51
"153","BLR","ROU",1
"154","BLR","RUS",54
"155","BLR","SRB",18
"156","BLR","ESP",4
"157","BLR","SWE",17
"158","BLR","CHE",3
"159","BLR","TUR",44
"160","BLR","UKR",102
"161","BLR","ARE",3
"162","BLR","GBR",15
"163","BLR","USA",1
"164","BEL","DZA",1
"165","BEL","AUT",37
"166","BEL","BHR",3
"167","BEL","BLR",10
"168","BEL","BGR",1
"169","BEL","CAN",1
"170","BEL","CHN",1
"171","BEL","HRV",4
"172","BEL","CYP",11
"173","BEL","CZE",30
"174","BEL","DNK",29
"175","BEL","EST",5
"176","BEL","FIN",19
"177","BEL","FRA",205
"178","BEL","GMB",1
"179","BEL","DEU",225
"180","BEL","GRC",17
"181","BEL","HKG",22
"182","BEL","HUN",27
"183","BEL","ISL",14
"184","BEL","IND",9
"185","BEL","IRL",29
"186","BEL","ISR",51
"187","BEL","ITA",184
"188","BEL","JOR",2
"189","BEL","KAZ",1
"190","BEL","LVA",5
"191","BEL","LBN",3
"192","BEL","LTU",1
"193","BEL","LUX",14
"194","BEL","MLT",14
"195","BEL","MAR",30
"196","BEL","NLD",54
"197","BEL","NOR",47
"198","BEL","POL",50
"199","BEL","PRT",84
"200","BEL","QAT",68
"201","BEL","ROU",50
"202","BEL","RUS",20
"203","BEL","SAU",5
"204","BEL","SEN",1
"205","BEL","SRB",1
"206","BEL","SVK",1
"207","BEL","SVN",5
"208","BEL","ZAF",2
"209","BEL","KOR",4
"210","BEL","ESP",158
"211","BEL","SWE",64
"212","BEL","CHE",59
"213","BEL","TUR",105
"214","BEL","UKR",1
"215","BEL","ARE",37
"216","BEL","GBR",234
"217","BEL","USA",94
"218","BLZ","USA",12
"219","BMU","CAN",4
"220","BMU","FRA",1
"221","BMU","GTM",1
"222","BMU","ISL",1
"223","BMU","IRL",2
"224","BMU","PAN",1
"225","BMU","PRT",3
"226","BMU","PRI",3
"227","BMU","SEN",2
"228","BMU","GBR",16
"229","BMU","USA",147
"230","BRA","CAN",22
"231","BRA","COL",53
"232","BRA","DNK",2
"233","BRA","FRA",50
"234","BRA","DEU",53
"235","BRA","IRL",7
"236","BRA","ITA",3
"237","BRA","LUX",11
"238","BRA","MEX",55
"239","BRA","NLD",52
"240","BRA","PAN",135
"241","BRA","PER",24
"242","BRA","PRT",108
"243","BRA","QAT",42
"244","BRA","RUS",2
"245","BRA","SEN",2
"246","BRA","ZAF",1
"247","BRA","ESP",50
"248","BRA","CHE",31
"249","BRA","TUR",23
"250","BRA","ARE",22
"251","BRA","USA",347
"252","BRN","AUS",9
"253","BRN","HKG",4
"254","BRN","IDN",3
"255","BRN","MYS",12
"256","BRN","PHL",5
"257","BRN","SGP",30
"258","BRN","GBR",1
"259","BRN","VNM",1
"260","BGR","AUT",2
"261","BGR","BEL",1
"262","BGR","CZE",1
"263","BGR","DEU",8
"264","BGR","LUX",1
"265","BGR","NLD",1
"266","BGR","CHE",1
"267","BGR","TUR",2
"268","BGR","ARE",1
"269","BGR","GBR",9
"270","CAN","AUS",15
"271","CAN","BRB",6
"272","CAN","BEL",11
"273","CAN","BMU",10
"274","CAN","BRA",22
"275","CAN","CHN",9
"276","CAN","COL",11
"277","CAN","CRI",9
"278","CAN","DNK",5
"279","CAN","FIN",1
"280","CAN","FRA",142
"281","CAN","PYF",14
"282","CAN","DEU",108
"283","CAN","GRC",1
"284","CAN","GTM",4
"285","CAN","HKG",41
"286","CAN","ISL",3
"287","CAN","IND",55
"288","CAN","IRL",8
"289","CAN","ISR",3
"290","CAN","ITA",11
"291","CAN","JPN",24
"292","CAN","LVA",3
"293","CAN","LUX",7
"294","CAN","MEX",109
"295","CAN","MAR",21
"296","CAN","NLD",89
"297","CAN","NOR",1
"298","CAN","PAN",34
"299","CAN","PER",5
"300","CAN","PHL",8
"301","CAN","POL",9
"302","CAN","PRT",29
"303","CAN","PRI",2
"304","CAN","QAT",34
"305","CAN","VCT",1
"306","CAN","KOR",81
"307","CAN","ESP",9
"308","CAN","CHE",30
"309","CAN","TWN",54
"310","CAN","TUR",39
"311","CAN","ARE",38
"312","CAN","GBR",105
"313","CAN","USA",2520
"314","CPV","BRA",1
"315","CPV","MAR",1
"316","CPV","PRT",5
"317","CPV","SEN",1
"318","CHN","AUS",40
"319","CHN","BGD",2
"320","CHN","BEL",4
"321","CHN","CAN",9
"322","CHN","FRA",2
"323","CHN","DEU",20
"324","CHN","HKG",9
"325","CHN","HUN",1
"326","CHN","IND",31
"327","CHN","IDN",19
"328","CHN","ISR",16
"329","CHN","ITA",7
"330","CHN","JPN",35
"331","CHN","KAZ",26
"332","CHN","MAC",4
"333","CHN","MYS",35
"334","CHN","MEX",1
"335","CHN","NLD",16
"336","CHN","PHL",17
"337","CHN","QAT",3
"338","CHN","RUS",30
"339","CHN","SGP",61
"340","CHN","ZAF",4
"341","CHN","KOR",40
"342","CHN","TWN",40
"343","CHN","THA",20
"344","CHN","ARE",23
