"","origin_country_iso_code","destination_country_iso_code","total_flights"
"1","DZA","AUT",2
"2","DZA","FRA",79
"3","DZA","DEU",5
"4","DZA","ITA",5
"5","DZA","MLI",2
"6","DZA","MAR",6
"7","DZA","QAT",5
"8","DZA","RUS",1
"9","DZA","SEN",1
"10","DZA","ESP",26
"11","DZA","CHE",4
"12","DZA","TUR",5
"13","DZA","GBR",1
"14","DZA","USA",1
"15","ARG","AUS",1
"16","ARG","BRA",19
"17","ARG","CPV",1
"18","ARG","COL",2
"19","ARG","ECU",3
"20","ARG","FRA",1
"21","ARG","DEU",4
"22","ARG","NLD",4
"23","ARG","PAN",10
"24","ARG","PRI",1
"25","ARG","RUS",2
"26","ARG","ESP",9
"27","ARG","USA",36
"28","ARG","URY",3
"29","AUS","BGD",1
"30","AUS","BEL",1
"31","AUS","BRN",10
"32","AUS","CAN",3
"33","AUS","CHN",62
"34","AUS","FRA",2
"35","AUS","HKG",135
"36","AUS","IND",8
"37","AUS","IDN",5
"38","AUS","ITA",2
"39","AUS","JPN",79
"40","AUS","MAC",3
"41","AUS","MYS",89
"42","AUS","NLD",2
"43","AUS","NZL",178
"44","AUS","PHL",14
"45","AUS","QAT",138
"46","AUS","RUS",1
"47","AUS","SGP",331
"48","AUS","KOR",32
"49","AUS","ESP",1
"50","AUS","TWN",78
"51","AUS","THA",16
"52","AUS","ARE",72
"53","AUS","GBR",2
"54","AUS","USA",299
"55","AUS","VNM",8
"56","AUT","BHR",1
"57","AUT","BLR",8
"58","AUT","BEL",80
"59","AUT","BIH",1
"60","AUT","BGR",2
"61","AUT","CAN",1
"62","AUT","HRV",26
"63","AUT","CYP",18
"64","AUT","CZE",30
"65","AUT","DNK",27
"66","AUT","FIN",15
"67","AUT","FRA",92
"68","AUT","DEU",594
"69","AUT","GRC",16
"70","AUT","HUN",39
"71","AUT","IND",3
"72","AUT","ISR",23
"73","AUT","ITA",98
"74","AUT","JPN",1
"75","AUT","JOR",3
"76","AUT","KAZ",2
