"","origin_country_iso_code","destination_country_iso_code","total_flights"
"1","DZA","AUT",1
"2","DZA","FRA",25
"3","DZA","DEU",2
"4","DZA","ITA",1
"5","DZA","MAR",1
"6","DZA","PRT",1
"7","DZA","QAT",2
"8","DZA","ESP",2
"9","DZA","ARE",1
"10","AUS","BRN",9
"11","AUS","CAN",1
"12","AUS","CHN",63
"13","AUS","PYF",1
"14","AUS","HKG",211
"15","AUS","IND",10
"16","AUS","IDN",1
"17","AUS","ITA",2
"18","AUS","JPN",43
"19","AUS","MAC",2
"20","AUS","MYS",81
"21","AUS","NLD",2
"22","AUS","NZL",260
"23","AUS","PHL",11
"24","AUS","QAT",134
"25","AUS","ROU",1
"26","AUS","SGP",344
"27","AUS","ZAF",1
"28","AUS","KOR",31
"29","AUS","TWN",97
"30","AUS","TUR",1
"31","AUS","ARE",116
"32","AUS","GBR",5
"33","AUS","USA",240
"34","AUS","VNM",18
"35","AUT","BHR",1
"36","AUT","BLR",11
"37","AUT","BEL",69
"38","AUT","BRA",1
"39","AUT","BGR",5
"40","AUT","HRV",18
"41","AUT","CYP",21
"42","AUT","CZE",27
"43","AUT","DNK",25
"44","AUT","EST",3
"45","AUT","FIN",18
"46","AUT","FRA",70
"47","AUT","DEU",521
"48","AUT","GRC",41
"49","AUT","GGY",1
"50","AUT","HUN",38
"51","AUT","ISL",1
"52","AUT","IRL",9
"53","AUT","ISR",26
"54","AUT","ITA",128
"55","AUT","JPN",2
"56","AUT","LVA",21
"57","AUT","LBN",1
"58","AUT","LTU",5
"59","AUT","LUX",40
"60","AUT","MAC",1
"61","AUT","MLT",14
"62","AUT","NLD",97
"63","AUT","NOR",18
"64","AUT","POL",46
"65","AUT","PRT",25
"66","AUT","QAT",30
"67","AUT","ROU",27
"68","AUT","RUS",49
"69","AUT","SRB",8
"70","AUT","SVK",7
"71","AUT","SVN",24
"72","AUT","KOR",1
"73","AUT","ESP",70
"74","AUT","SWE",31
"75","AUT","CHE",144
"76","AUT","TWN",17
"77","AUT","TUN",1
"78","AUT","TUR",82
"79","AUT","UKR",36
"80","AUT","ARE",20
"81","AUT","GBR",93
"82","AUT","USA",26
"83","AZE","RUS",1
"84","BHR","BGD",8
"85","BHR","BEL",4
"86","BHR","CYP",5
"87","BHR","FRA",2
"88","BHR","DEU",56
"89","BHR","GRC",14
"90","BHR","HKG",53
"91","BHR","IND",48
"92","BHR","IRL",1
"93","BHR","ISR",4
"94","BHR","ITA",8
"95","BHR","KWT",2
"96","BHR","LVA",1
"97","BHR","LBN",20
"98","BHR","MAC",4
"99","BHR","MYS",4
"100","BHR","MAR",3
"101","BHR","PHL",13
"102","BHR","QAT",16
"103","BHR","ROU",1
"104","BHR","RUS",2
"105","BHR","SAU",42
"106","BHR","SRB",1
"107","BHR","KOR",8
"108","BHR","ESP",1
"109","BHR","CHE",2
"110","BHR","THA",2
"111","BHR","TUR",13
"112","BHR","ARE",295
"113","BHR","GBR",35
"114","BHR","VNM",4
"115","BGD","BHR",8
"116","BGD","DEU",6
"117","BGD","HKG",22
"118","BGD","IND",91
"119","BGD","MYS",18
"120","BGD","PHL",2
"121","BGD","QAT",87
"122","BGD","RUS",3
"123","BGD","SAU",48
"124","BGD","SGP",22
"125","BGD","KOR",1
"126","BGD","ESP",8
"127","BGD","TUR",9
"128","BGD","ARE",164
"129","BGD","GBR",6
"130","BRB","BRA",2
"131","BRB","CAN",10
"132","BRB","FRA",1
"133","BRB","DEU",2
"134","BRB","IRL",1
"135","BRB","PRI",8
"136","BRB","LCA",32
"137","BRB","VCT",52
"138","BRB","GBR",18
"139","BRB","USA",59
"140","BLR","AUT",15
"141","BLR","BEL",11
"142","BLR","CYP",1
"143","BLR","CZE",12
"144","BLR","EST",4
"145","BLR","FIN",20
"146","BLR","FRA",22
"147","BLR","DEU",45
"148","BLR","HUN",1
"149","BLR","ISR",6
"150","BLR","ITA",23
"151","BLR","KAZ",1
"152","BLR","LVA",5
"153","BLR","LTU",35
"154","BLR","NLD",29
"155","BLR","POL",43
"156","BLR","QAT",2
"157","BLR","ROU",2
"158","BLR","RUS",61
"159","BLR","SAU",1
"160","BLR","SRB",16
"161","BLR","ESP",4
"162","BLR","SWE",14
"163","BLR","CHE",2
"164","BLR","TUR",13
"165","BLR","UKR",95
"166","BLR","ARE",2
"167","BLR","GBR",11
"168","BLR","UZB",2
"169","BEL","DZA",1
"170","BEL","AUT",42
"171","BEL","BLR",11
"172","BEL","BGR",7
"173","BEL","CAN",1
"174","BEL","HRV",2
"175","BEL","CYP",10
"176","BEL","CZE",32
"177","BEL","DNK",31
"178","BEL","EST",3
"179","BEL","FIN",26
"180","BEL","FRA",234
"181","BEL","DEU",252
"182","BEL","GRC",35
"183","BEL","HKG",27
"184","BEL","HUN",38
"185","BEL","ISL",48
"186","BEL","IND",1
"187","BEL","IRL",31
"188","BEL","ISR",44
"189","BEL","ITA",234
"190","BEL","KAZ",1
"191","BEL","LTU",1
"192","BEL","LUX",12
"193","BEL","MLT",17
"194","BEL","MEX",2
"195","BEL","MAR",18
"196","BEL","NLD",53
"197","BEL","NOR",42
"198","BEL","PHL",1
"199","BEL","POL",73
"200","BEL","PRT",78
"201","BEL","QAT",75
"202","BEL","ROU",40
"203","BEL","RUS",61
"204","BEL","SAU",3
"205","BEL","SRB",2
"206","BEL","SGP",4
"207","BEL","SVN",4
"208","BEL","KOR",3
"209","BEL","ESP",196
"210","BEL","SWE",59
"211","BEL","CHE",39
"212","BEL","TUR",67
"213","BEL","ARE",33
"214","BEL","GBR",196
"215","BEL","USA",98
"216","BEL","VNM",1
"217","BLZ","USA",13
"218","BMU","CAN",15
"219","BMU","PRT",1
"220","BMU","ESP",2
"221","BMU","GBR",14
"222","BMU","USA",200
"223","BOL","BRA",8
"224","BOL","USA",2
"225","BIH","SRB",1
"226","BRA","AUT",1
"227","BRA","BEL",3
"228","BRA","CAN",15
"229","BRA","CHN",1
"230","BRA","COL",39
"231","BRA","CRI",1
"232","BRA","FRA",41
"233","BRA","DEU",52
"234","BRA","GTM",1
"235","BRA","IRL",5
"236","BRA","ITA",3
"237","BRA","LUX",3
"238","BRA","MEX",29
"239","BRA","NLD",52
"240","BRA","PAN",49
"241","BRA","PER",5
"242","BRA","PRT",104
"243","BRA","PRI",2
"244","BRA","QAT",29
"245","BRA","VCT",1
"246","BRA","ZAF",1
"247","BRA","ESP",29
"248","BRA","SWE",2
"249","BRA","CHE",17
"250","BRA","TUR",7
"251","BRA","ARE",35
"252","BRA","GBR",52
"253","BRA","USA",307
"254","BRN","AUS",9
"255","BRN","DEU",1
"256","BRN","HKG",4
"257","BRN","MYS",9
"258","BRN","PHL",6
"259","BRN","SGP",19
"260","BRN","GBR",1
"261","BRN","VNM",6
"262","BGR","AUT",1
"263","BGR","BEL",1
"264","BGR","CYP",2
"265","BGR","DNK",1
"266","BGR","FRA",1
"267","BGR","DEU",9
"268","BGR","GRC",1
"269","BGR","IRL",2
"270","BGR","ISR",1
"271","BGR","ITA",1
"272","BGR","NLD",3
"273","BGR","PHL",1
"274","BGR","POL",1
"275","BGR","SVK",1
"276","BGR","ZAF",1
"277","BGR","ESP",1
"278","BGR","CHE",1
"279","BGR","UKR",2
"280","BGR","GBR",8
"281","BGR","USA",1
"282","CAN","AUS",17
"283","CAN","AUT",1
"284","CAN","BRB",12
"285","CAN","BEL",13
"286","CAN","BMU",17
"287","CAN","BRA",18
"288","CAN","COL",4
"289","CAN","CRI",5
"290","CAN","DNK",9
"291","CAN","FRA",126
"292","CAN","PYF",24
"293","CAN","DEU",132
"294","CAN","GRC",2
"295","CAN","GTM",9
"296","CAN","HKG",64
"297","CAN","ISL",5
"298","CAN","IND",50
"299","CAN","IRL",15
"300","CAN","ISR",10
"301","CAN","ITA",19
"302","CAN","JPN",25
"303","CAN","LVA",2
"304","CAN","LUX",8
"305","CAN","MYS",1
"306","CAN","MEX",39
"307","CAN","MAR",12
"308","CAN","NLD",91
"309","CAN","NIC",1
"310","CAN","PAN",8
"311","CAN","PER",5
"312","CAN","PHL",7
"313","CAN","POL",13
"314","CAN","PRT",31
"315","CAN","PRI",2
"316","CAN","QAT",17
"317","CAN","RUS",1
"318","CAN","LCA",1
"319","CAN","VCT",3
"320","CAN","SGP",1
"321","CAN","SVK",1
"322","CAN","KOR",88
"323","CAN","ESP",24
"324","CAN","CHE",40
"325","CAN","TWN",59
"326","CAN","TUR",4
"327","CAN","UKR",3
"328","CAN","ARE",32
"329","CAN","GBR",142
"330","CAN","USA",2370
"331","CHN","AUS",57
"332","CHN","AUT",1
"333","CHN","BGD",1
"334","CHN","BEL",2
"335","CHN","CAN",4
"336","CHN","DNK",2
"337","CHN","FRA",11
"338","CHN","DEU",46
"339","CHN","HKG",11
"340","CHN","IND",40
"341","CHN","ISR",15
"342","CHN","ITA",16
"343","CHN","JPN",44
"344","CHN","KAZ",6
"345","CHN","MAC",7
"346","CHN","MYS",47
"347","CHN","NLD",21
"348","CHN","PHL",15
"349","CHN","QAT",2
"350","CHN","RUS",44
"351","CHN","SGP",69
"352","CHN","ZAF",7
"353","CHN","KOR",52
"354","CHN","TWN",43
"355","CHN","ARE",22
"356","CHN","GBR",7
"357","CHN","USA",108
"358","CHN","VNM",30
"359","COL","BRB",1
"360","COL","BEL",5
"361","COL","BRA",41
"362","COL","CAN",16
"363","COL","CRI",18
"364","COL","ECU",3
"365","COL","FRA",5
"366","COL","GTM",16
"367","COL","MEX",59
"368","COL","NLD",25
"369","COL","PAN",115
"370","COL","PER",24
"371","COL","PRT",1
"372","COL","ESP",41
"373","COL","GBR",5
"374","COL","USA",663
"375","CRI","BRA",2
"376","CRI","CAN",6
"377","CRI","COL",15
"378","CRI","FRA",4
"379","CRI","DEU",9
"380","CRI","GTM",46
"381","CRI","HND",1
"382","CRI","MEX",16
"383","CRI","NLD",1
"384","CRI","NIC",14
"385","CRI","PAN",62
"386","CRI","PER",1
"387","CRI","PRI",1
