"","origin_country_iso_code","destination_country_iso_code","total_flights"
"1","DZA","AUT",2
"2","DZA","BEL",2
"3","DZA","EGY",1
"4","DZA","FRA",54
"5","DZA","DEU",3
"6","DZA","ITA",4
"7","DZA","MLT",1
"8","DZA","MAR",7
"9","DZA","PRT",1
"10","DZA","RUS",1
"11","DZA","ESP",9
"12","DZA","CHE",3
"13","DZA","TUR",2
"14","DZA","ARE",3
"15","AUS","BRA",1
"16","AUS","BRN",10
"17","AUS","CHN",41
"18","AUS","DEU",3
"19","AUS","HKG",183
"20","AUS","IND",10
"21","AUS","ITA",1
"22","AUS","JPN",40
"23","AUS","MAC",4
"24","AUS","MYS",109
"25","AUS","NZL",252
"26","AUS","PHL",13
"27","AUS","PRT",1
"28","AUS","QAT",106
"29","AUS","SGP",301
"30","AUS","ZAF",1
"31","AUS","KOR",35
"32","AUS","CHE",1
"33","AUS","TWN",108
"34","AUS","ARE",138
"35","AUS","GBR",2
"36","AUS","USA",276
"37","AUS","VNM",19
"38","AUT","BLR",17
"39","AUT","BEL",107
"40","AUT","BIH",1
"41","AUT","BGR",9
"42","AUT","HRV",18
"43","AUT","CYP",30
"44","AUT","CZE",32
"45","AUT","DNK",54
"46","AUT","EGY",4
"47","AUT","EST",7
"48","AUT","FIN",13
"49","AUT","FRA",120
"50","AUT","DEU",1023
"51","AUT","GRC",83
"52","AUT","HUN",40
"53","AUT","ISL",2
"54","AUT","IRL",9
"55","AUT","ISR",43
"56","AUT","ITA",324
"57","AUT","LVA",22
"58","AUT","LTU",9
"59","AUT","LUX",50
"60","AUT","MLT",37
"61","AUT","NLD",130
"62","AUT","NOR",17
"63","AUT","POL",73
"64","AUT","PRT",33
"65","AUT","QAT",24
"66","AUT","ROU",59
"67","AUT","RUS",53
"68","AUT","SAU",1
"69","AUT","SRB",25
"70","AUT","SGP",2
"71","AUT","SVK",17
"72","AUT","SVN",41
"73","AUT","ESP",127
"74","AUT","SWE",41
"75","AUT","CHE",195
"76","AUT","TWN",16
"77","AUT","TUR",109
"78","AUT","UKR",60
"79","AUT","ARE",26
"80","AUT","GBR",118
"81","AUT","USA",49
"82","AZE","AUT",1
"83","AZE","DEU",1
"84","AZE","JPN",1
"85","AZE","LUX",1
"86","AZE","NLD",3
"87","AZE","PHL",1
"88","AZE","RUS",1
"89","AZE","SGP",1
"90","AZE","TUR",1
"91","BHR","BGD",8
"92","BHR","BEL",4
"93","BHR","CYP",3
"94","BHR","EGY",4
"95","BHR","EST",1
"96","BHR","DEU",42
"97","BHR","GRC",6
"98","BHR","HKG",40
