"","date","region","sgtfv"
"1",2020-08-01,"East of England",0.0000460647929894948
"2",2020-08-02,"East of England",0.0000512053135957185
"3",2020-08-03,"East of England",0.0000569195805688918
"4",2020-08-04,"East of England",0.0000632716379724624
"5",2020-08-05,"East of England",0.0000703326785044836
"6",2020-08-06,"East of England",0.000078181841169523
"7",2020-08-07,"East of England",0.0000869070978730259
"8",2020-08-08,"East of England",0.0000966062388284538
"9",2020-08-09,"East of England",0.000107387967761959
"10",2020-08-10,"East of England",0.000119373119113559
"11",2020-08-11,"East of England",0.000132696010780523
"12",2020-08-12,"East of England",0.000147505947442006
"13",2020-08-13,"East of England",0.000163968891159385
"14",2020-08-14,"East of England",0.000182269317781187
"15",2020-08-15,"East of England",0.000202612279713582
"16",2020-08-16,"East of England",0.000225225697867454
"17",2020-08-17,"East of England",0.00025036290808336
"18",2020-08-18,"East of England",0.000278305490090298
"19",2020-08-19,"East of England",0.000309366410099563
"20",2020-08-20,"East of England",0.000343893511499362
"21",2020-08-21,"East of England",0.000382273391830109
"22",2020-08-22,"East of England",0.000424935708317227
"23",2020-08-23,"East of England",0.000472357958753194
"24",2020-08-24,"East of England",0.000525070789490673
"25",2020-08-25,"East of England",0.000583663887773338
"26",2020-08-26,"East of England",0.000648792521631515
"27",2020-08-27,"East of England",0.000721184797148279
"28",2020-08-28,"East of England",0.00080164971010142
"29",2020-08-29,"East of England",0.000891086076850525
"30",2020-08-30,"East of England",0.000990492437908009
"31",2020-08-31,"East of England",0.0011009780369471
"32",2020-09-01,"East of England",0.00122377498809261
"33",2020-09-02,"East of England",0.00136025175523834
"34",2020-09-03,"East of England",0.00151192807885449
"35",2020-09-04,"East of England",0.00168049149828997
"36",2020-09-05,"East of England",0.0018678156309198
"37",2020-09-06,"East of England",0.00207598038359003
"38",2020-09-07,"East of England",0.00230729428659155
"39",2020-09-08,"East of England",0.00256431915572269
"40",2020-09-09,"East of England",0.00284989730369501
"41",2020-09-10,"East of England",0.00316718153793825
"42",2020-09-11,"East of England",0.00351966819741967
"43",2020-09-12,"East of England",0.00391123349594415
"44",2020-09-13,"East of England",0.00434617345293646
"45",2020-09-14,"East of England",0.00482924770414358
"46",2020-09-15,"East of England",0.00536572749303469
"47",2020-09-16,"East of England",0.00596144814766448
"48",2020-09-17,"East of England",0.00662286634583182
"49",2020-09-18,"East of England",0.00735712246157107
"50",2020-09-19,"East of England",0.00817210826597396
"51",2020-09-20,"East of England",0.00907654022215931
"52",2020-09-21,"East of England",0.0100800385643879
"53",2020-09-22,"East of England",0.011193212280682
"54",2020-09-23,"East of England",0.0124277500219045
"55",2020-09-24,"East of England",0.0137965168322841
"56",2020-09-25,"East of England",0.0153136564301441
"57",2020-09-26,"East of England",0.0169946985554505
"58",2020-09-27,"East of England",0.0188566706341879
"59",2020-09-28,"East of England",0.0209182126790895
"60",2020-09-29,"East of England",0.0231996939418746
"61",2020-09-30,"East of England",0.0257233293435579
"62",2020-10-01,"East of England",0.0285132931265435
"63",2020-10-02,"East of England",0.0315958264861188
"64",2020-10-03,"East of England",0.0349993351428577
"65",2020-10-04,"East of England",0.0387544719083273
"66",2020-10-05,"East of England",0.0428941982771693
"67",2020-10-06,"East of England",0.0474538179602594
"68",2020-10-07,"East of England",0.0524709740789198
"69",2020-10-08,"East of England",0.0579856005069202
"70",2020-10-09,"East of England",0.0640398166324033
"71",2020-10-10,"East of England",0.0706777536965683
"72",2020-10-11,"East of England",0.0779452999581206
"73",2020-10-12,"East of England",0.0858897513708261
"74",2020-10-13,"East of England",0.0945593544162979
"75",2020-10-14,"East of England",0.104002728405272
"76",2020-10-15,"East of England",0.114268156170871
"77",2020-10-16,"East of England",0.125402734859425
"78",2020-10-17,"East of England",0.137451382700324
"79",2020-10-18,"East of England",0.15045570338764
"80",2020-10-19,"East of England",0.164452717135882
"81",2020-10-20,"East of England",0.179473476558151
"82",2020-10-21,"East of England",0.19554159606144
"83",2020-10-22,"East of England",0.212671735044028
"84",2020-10-23,"East of England",0.230868087142329
"85",2020-10-24,"East of England",0.250122939172421
"86",2020-10-25,"East of England",0.270415373068507
"87",2020-10-26,"East of England",0.291710190694833
"88",2020-10-27,"East of England",0.313957143516486
"89",2020-10-28,"East of England",0.337090545510496
"90",2020-10-29,"East of England",0.361029337478159
"91",2020-10-30,"East of England",0.385677653737858
"92",2020-10-31,"East of England",0.410925918431002
"93",2020-11-01,"East of England",0.436652469602943
"94",2020-11-02,"East of England",0.462725676898966
"95",2020-11-03,"East of England",0.489006485894849
"96",2020-11-04,"East of England",0.515351291901554
"97",2020-11-05,"East of England",0.541615021674929
"98",2020-11-06,"East of England",0.567654285505049
"99",2020-11-07,"East of England",0.593330456483588
"100",2020-11-08,"East of England",0.618512539035885
"101",2020-11-09,"East of England",0.643079704484315
"102",2020-11-10,"East of England",0.666923395736517
"103",2020-11-11,"East of England",0.689948933519067
"104",2020-11-12,"East of England",0.712076589752392
"105",2020-11-13,"East of England",0.733242126477945
"106",2020-11-14,"East of England",0.753396828355176
"107",2020-11-15,"East of England",0.772507080970123
"108",2020-11-16,"East of England",0.790553564716768
