"iso_a3","exports_mid","exports_low","exports_high","incidence_mid","incidence_low","incidence_high","month","variant"
"ARE",4170.19481374543,3887.09843570286,4580.88484196812,1669.89997423405,1535.59730279231,1886.97277871749,"october",FALSE
"AUT",1471.21086068683,1371.33675777335,1616.09896709028,3255.87926476251,1945.30758841031,5338.03634286333,"october",FALSE
"AZE",10.5842507963081,9.86573207031188,11.6266112740307,558.058295892253,550.806941749685,565.969694220574,"october",FALSE
"BEL",2984.7587245589,2782.13644382794,3278.70437927667,15306.3124102923,11134.4474019967,444648.490169148,"october",FALSE
"BGR",169.348012740931,157.85171312499,186.025780384492,2724.68248918721,2455.90170774658,3058.25288476663,"october",FALSE
"BHR",412.785781056019,384.763550742162,453.4378396872,373.868815900495,357.516461669012,421.728688830309,"october",FALSE
"BLR",179.932263537239,167.717445195301,197.652391658523,997.093433622209,946.408730498333,1047.55834968195,"october",FALSE
"BMU",190.516514333548,177.583177265613,209.279002932553,NA,NA,NA,"october",FALSE
"BRA",518.628289019101,483.42087144528,569.703952427507,31295.5710260897,29106.5964036764,62567.3874629965,"october",FALSE
"BRB",455.122784241252,424.226479023409,499.944284783322,3.91152828505056,3.50226803156072,4.39249596133202,"october",FALSE
"BRN",21.1685015926164,19.7314641406237,23.2532225480615,0.0994152395502119,0.0838657988715221,0.119299290482359,"october",FALSE
"CAN",2011.00765129855,1874.48909335925,2209.05614206584,NA,NA,NA,"october",FALSE
"CHE",4032.59955339342,3758.84391878881,4429.73889540571,4850.70097951742,3906.6059377361,17202.46930165,"october",FALSE
"CHN",222.269266722472,207.180373476548,244.158836754646,NA,NA,NA,"october",FALSE
"CYP",4953.42937267223,4617.16260890594,5441.25407624639,113.821532942881,102.138070154589,126.846698508417,"october",FALSE
"CZE",1407.70535590898,1312.14236535147,1546.33929944609,15059.6379581314,13584.3246653233,17021.9187263472,"october",FALSE
"DEU",24915.3263745095,23223.9332935141,27369.0429390684,100178.240899052,73182.5380234702,109577.941124359,"october",FALSE
"DNK",3312.87049924446,3087.97413800761,3639.12932877162,1031.08880959279,982.581527491318,1168.45003027709,"october",FALSE
"EGY",116.42675875939,108.52305277343,127.892724014338,510.194399803367,140.553059517113,618.773708927016,"october",FALSE
