"panel","wave","date","e_home","e_school","e_work","e_other"
"A",10,2020-08-02,3,0,0,0
"A",10,2020-08-03,1,0,0,0
"A",10,2020-08-02,1,0,0,0
"A",10,2020-07-30,1,0,0,0
"A",10,2020-08-02,0,0,0,0
"A",10,2020-08-03,1,0,0,0
"A",10,2020-07-30,0,0,0,0
"A",10,2020-08-03,1,0,0,1
"A",10,2020-08-02,1,0,0,0
"A",10,2020-08-02,2,0,0,1
"A",10,2020-08-02,0,0,0,0
"A",10,2020-08-03,1,0,0,0
"A",10,2020-08-03,0,0,0,0
"A",10,2020-07-30,0,0,1,0
"A",10,2020-08-03,0,0,1,1
"A",10,2020-08-03,1,0,0,0
"A",10,2020-07-31,1,0,0,0
"A",10,2020-07-30,0,0,0,0
"A",10,2020-08-03,0,0,0,0
"A",10,2020-07-30,0,0,0,0
"A",10,2020-08-02,3,0,0,13
"A",10,2020-08-03,1,0,4,0
"A",10,2020-07-30,0,0,0,0
"A",10,2020-08-03,0,0,0,0
"A",10,2020-08-03,1,0,0,0
"A",10,2020-08-01,3,0,0,0
"A",10,2020-08-03,3,0,0,0
"A",10,2020-08-02,0,0,0,0
"A",10,2020-08-02,1,0,0,0
"A",10,2020-08-02,2,0,0,0
"A",10,2020-08-03,1,0,0,0
"A",10,2020-08-02,4,0,0,0
"A",10,2020-08-01,3,0,0,0
"A",10,2020-08-02,3,0,0,1
"A",10,2020-07-31,3,0,0,0
"A",10,2020-08-03,0,0,0,1
"A",10,2020-07-31,0,0,0,4
"A",10,2020-08-02,1,0,0,0
"A",10,2020-08-04,0,0,0,0
"A",10,2020-08-02,1,0,0,0
"A",10,2020-07-31,2,0,0,0
"A",10,2020-07-30,0,0,0,1
"A",10,2020-08-03,1,0,0,1
"A",10,2020-08-04,3,0,0,0
"A",10,2020-08-03,1,0,0,0
"A",10,2020-08-03,0,0,0,1
"A",10,2020-07-30,3,0,0,0
"A",10,2020-08-03,0,0,0,0
"A",10,2020-08-02,1,0,0,0
"A",10,2020-08-03,1,0,0,0
"A",10,2020-08-02,3,0,0,3
"A",10,2020-08-03,1,0,0,0
"A",10,2020-08-01,0,0,0,0
"A",10,2020-07-30,1,0,0,2
"A",10,2020-08-03,1,0,0,0
"A",10,2020-08-03,1,0,0,0
"A",10,2020-07-30,5,0,0,1
"A",10,2020-07-30,1,0,0,0
"A",10,2020-07-31,1,0,0,0
"A",10,2020-07-30,1,0,0,0
"A",10,2020-07-30,2,0,0,0
"A",10,2020-07-30,2,0,0,0
"A",10,2020-07-31,0,0,0,0
"A",10,2020-07-30,2,0,5,0
"A",10,2020-08-02,1,0,0,4
"A",10,2020-07-30,0,0,82,0
"A",10,2020-08-03,0,0,0,6
"A",10,2020-08-02,1,0,0,0
"A",10,2020-08-02,2,0,0,0
"A",10,2020-08-03,1,0,0,0
"A",10,2020-07-30,0,0,0,0
"A",10,2020-08-01,5,0,0,0
"A",10,2020-07-30,0,0,0,0
"A",10,2020-08-03,1,0,0,0
"A",10,2020-08-03,0,0,2,0
"A",10,2020-07-30,1,0,0,2
"A",10,2020-08-03,0,0,0,0
"A",10,2020-07-31,1,0,0,0
"A",10,2020-08-02,0,0,0,0
"A",10,2020-08-02,0,0,0,0
"A",10,2020-08-03,1,0,0,0
"A",10,2020-08-02,1,0,0,0
"A",10,2020-07-30,1,0,0,0
"A",10,2020-08-04,1,0,0,2
"A",10,2020-08-03,1,0,0,0
"A",10,2020-08-03,1,0,0,0
"A",10,2020-08-03,1,0,0,1
"A",10,2020-08-04,2,0,0,0
"A",10,2020-07-31,0,0,0,0
"A",10,2020-08-02,1,0,0,0
"A",10,2020-08-03,1,0,0,2
"A",10,2020-07-30,0,0,72,0
"A",10,2020-08-03,0,0,0,0
"A",10,2020-08-04,0,0,0,1
"A",10,2020-08-04,2,0,0,0
"A",10,2020-08-03,0,0,0,0
"A",10,2020-08-03,4,0,0,0
"A",10,2020-08-01,1,0,4,0
"A",10,2020-08-03,1,0,0,0
"A",10,2020-08-02,1,0,0,0
"A",10,2020-07-31,1,0,0,0
"A",10,2020-07-30,1,0,0,17
"A",10,2020-08-03,1,0,0,1
"A",10,2020-07-31,0,0,0,1
"A",10,2020-08-03,2,0,0,4
"A",10,2020-07-30,0,0,0,0
"A",10,2020-08-01,1,0,0,1
"A",10,2020-08-03,0,0,0,1
"A",10,2020-08-03,3,0,0,4
"A",10,2020-08-03,1,0,0,0
"A",10,2020-08-05,1,0,0,48
"A",10,2020-08-02,0,0,0,0
"A",10,2020-08-02,1,0,0,0
"A",10,2020-07-30,2,0,0,0
"A",10,2020-07-30,0,0,19,0
"A",10,2020-08-02,1,0,0,0
"A",10,2020-08-04,0,0,0,1
"A",10,2020-08-02,0,0,0,0
"A",10,2020-08-01,2,0,0,4
"A",10,2020-08-03,1,0,0,0
"A",10,2020-08-02,3,0,0,0
"A",10,2020-08-02,3,0,245,62
"A",10,2020-07-31,0,0,0,0
"A",10,2020-08-02,3,0,0,0
"A",10,2020-08-03,1,0,1,0
"A",10,2020-07-30,0,0,0,1
"A",10,2020-08-03,1,0,0,0
"A",10,2020-08-03,1,0,0,3
"A",10,2020-08-03,1,0,0,0
"A",10,2020-08-02,0,0,0,0
"A",10,2020-08-03,0,0,0,0
"A",10,2020-08-02,0,0,0,0
"A",10,2020-08-03,0,0,27,2
"A",10,2020-07-30,0,0,0,0
"A",10,2020-08-02,0,0,5,0
"A",10,2020-08-02,0,0,0,0
"A",10,2020-08-03,3,0,0,0
"A",10,2020-07-30,0,0,0,0
"A",10,2020-08-03,1,0,0,0
"A",10,2020-08-03,0,0,0,0
"A",10,2020-08-03,1,0,0,0
"A",10,2020-07-31,1,0,0,0
"A",10,2020-08-03,1,0,0,1
"A",10,2020-07-31,0,0,0,0
"A",10,2020-08-01,1,0,0,1
"A",10,2020-08-03,1,0,0,0
"A",10,2020-08-02,0,0,0,0
"A",10,2020-08-03,1,0,0,3
"A",10,2020-07-30,4,0,0,0
"A",10,2020-07-31,0,0,0,0
"A",10,2020-08-04,1,0,0,3
"A",10,2020-07-30,2,0,0,0
"A",10,2020-08-03,0,0,0,3
"A",10,2020-08-03,1,0,0,0
"A",10,2020-08-02,1,0,0,0
"A",10,2020-08-03,3,0,0,0
"A",10,2020-08-03,1,0,0,1
"A",10,2020-08-02,0,0,0,0
"A",10,2020-07-30,3,0,0,0
"A",10,2020-08-05,1,0,0,0
"A",10,2020-07-30,3,0,0,0
"A",10,2020-08-02,1,0,0,0
"A",10,2020-08-02,3,0,0,1
"A",10,2020-07-30,1,0,1,0
"A",10,2020-08-02,1,0,0,2
"A",10,2020-08-02,2,0,0,0
"A",10,2020-08-02,3,0,0,0
"A",10,2020-08-03,1,0,0,0
"A",10,2020-08-02,1,0,0,0
"A",10,2020-08-02,0,0,0,0
"A",10,2020-07-30,2,0,0,1
"A",10,2020-07-30,1,0,0,0
"A",10,2020-07-31,0,0,0,0
"A",10,2020-08-02,2,0,0,0
"A",10,2020-08-03,0,0,0,0
"A",10,2020-08-05,1,0,0,0
"A",10,2020-08-01,4,0,0,0
"A",10,2020-08-03,5,0,0,0
"A",10,2020-08-03,1,0,0,2
"A",10,2020-07-30,1,0,0,0
"A",10,2020-08-02,2,0,0,0
"A",10,2020-07-31,1,0,0,0
"A",10,2020-08-03,6,0,0,0
"A",10,2020-08-01,1,0,0,0
"A",10,2020-08-03,1,0,5,0
"A",10,2020-07-31,0,0,0,2
"A",10,2020-07-31,0,0,0,0
"A",10,2020-07-30,0,0,0,2
"A",10,2020-07-31,1,0,0,0
"A",10,2020-07-30,1,0,0,0
"A",10,2020-08-03,1,0,0,0
"A",10,2020-08-03,1,0,0,0
"A",10,2020-08-03,1,0,0,2
"A",10,2020-08-05,3,0,14,3
"A",10,2020-07-30,1,0,0,0
"A",10,2020-08-02,2,0,0,0
"A",10,2020-08-03,2,0,0,3
"A",10,2020-07-31,0,0,0,0
"A",10,2020-08-02,0,0,0,1
"A",10,2020-08-03,0,0,0,1
"A",10,2020-07-30,1,0,0,1
"A",10,2020-08-02,3,0,0,0
"A",10,2020-08-02,4,0,0,0
"A",10,2020-08-03,2,0,0,1
"A",10,2020-08-03,0,0,0,1
"A",10,2020-08-02,2,0,0,0
"A",10,2020-08-02,1,0,0,0
"A",10,2020-07-30,7,0,0,1
"A",10,2020-08-02,2,0,0,0
"A",10,2020-08-02,3,0,0,0
"A",10,2020-08-03,1,0,0,6
"A",10,2020-08-03,1,0,0,0
"A",10,2020-07-30,0,0,0,0
"A",10,2020-07-30,0,0,0,3
"A",10,2020-08-03,0,0,0,1
"A",10,2020-07-30,1,0,6,0
"A",10,2020-08-02,1,0,0,5
"A",10,2020-07-30,0,0,0,0
"A",10,2020-07-30,0,0,0,2
"A",10,2020-08-03,1,0,3,0
"A",10,2020-08-02,2,0,0,6
"A",10,2020-08-03,0,0,1,0
"A",10,2020-08-05,3,0,2,0
"A",10,2020-08-02,2,0,0,0
"A",10,2020-07-30,0,0,0,3
"A",10,2020-08-04,2,0,0,0
"A",10,2020-07-31,0,0,0,3
"A",10,2020-08-02,0,0,0,0
"A",10,2020-08-03,3,0,0,0
"A",10,2020-08-03,2,0,0,2
"A",10,2020-08-02,0,0,0,0
"A",10,2020-08-03,2,0,0,1
"A",10,2020-08-03,1,0,0,0
"A",10,2020-07-31,0,0,0,0
"A",10,2020-08-02,4,0,0,2
"A",10,2020-08-04,1,0,0,1
"A",10,2020-07-31,1,0,0,1
"A",10,2020-07-30,0,0,0,0
"A",10,2020-08-01,0,0,0,1
"A",10,2020-07-30,3,0,0,26
"A",10,2020-08-02,1,0,0,0
"A",10,2020-08-02,0,0,26,0
"A",10,2020-08-01,1,0,0,0
"A",10,2020-07-30,1,0,0,0
"A",10,2020-08-02,2,0,0,2
"A",10,2020-08-03,4,0,0,0
"A",10,2020-07-30,3,0,0,0
"A",10,2020-08-01,1,0,0,0
"A",10,2020-08-04,1,0,0,0
"A",10,2020-08-03,0,0,0,1
"A",10,2020-08-03,0,0,2,0
"A",10,2020-07-30,1,0,0,0
"A",10,2020-07-30,3,0,0,0
"A",10,2020-08-04,1,0,0,2
"A",10,2020-08-02,3,0,3,0
"A",10,2020-07-30,0,0,0,1
"A",10,2020-08-02,2,0,0,1
"A",10,2020-07-31,0,0,0,1
"A",10,2020-08-03,1,0,0,2
"A",10,2020-08-03,1,0,0,0
"A",10,2020-08-03,0,0,0,13
"A",10,2020-08-03,0,0,0,2
"A",10,2020-07-30,0,0,0,0
"A",10,2020-07-30,3,0,0,0
"A",10,2020-07-30,3,0,0,0
"A",10,2020-07-31,2,0,0,0
"A",10,2020-08-03,3,0,0,0
"A",10,2020-07-31,3,0,0,0
"A",10,2020-07-31,0,0,0,0
"A",10,2020-08-04,1,0,0,0
"A",10,2020-07-31,2,0,0,1
"A",10,2020-07-31,3,0,0,0
"A",10,2020-08-03,0,0,0,0
"A",10,2020-08-03,1,0,1,0
"A",10,2020-08-04,2,0,0,1
"A",10,2020-08-03,2,0,0,0
"A",10,2020-07-30,1,0,2,0
"A",10,2020-08-03,3,0,0,3
"A",10,2020-08-03,2,0,0,0
"A",10,2020-07-30,3,0,1,0
"A",10,2020-07-30,1,0,0,2
"A",10,2020-07-31,0,0,1,2
"A",10,2020-07-30,0,0,0,0
"A",10,2020-07-31,0,0,0,0
"A",10,2020-07-30,5,0,0,0
"A",10,2020-07-30,5,0,0,0
"A",10,2020-07-30,1,0,0,0
"A",10,2020-08-03,1,0,0,0
"A",10,2020-07-30,2,0,0,0
"A",10,2020-07-30,3,0,7,1
"A",10,2020-07-30,2,0,0,0
"A",10,2020-07-30,1,0,0,0
"A",10,2020-08-02,0,0,0,0
"A",10,2020-07-30,3,0,0,2
"A",10,2020-07-30,0,0,0,0
"A",10,2020-07-31,0,0,21,2
"A",10,2020-08-02,3,0,0,0
"A",10,2020-08-04,1,0,0,0
"A",10,2020-08-02,3,0,0,0
"A",10,2020-08-02,2,0,2,0
"A",10,2020-07-30,1,0,0,0
"A",10,2020-08-03,3,0,0,0
"A",10,2020-07-31,1,0,0,0
