"panel","wave","date","e_home","e_school","e_work","e_other"
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,6,0,0,0
"C",1,2020-05-08,0,0,0,3
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,2,1,0,1
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,6,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,5,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,6,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,9,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,5,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,5,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,5,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,5,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,3,0,0,10
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,8,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,7,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,5,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,5,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,1,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,2,0,0,1
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,5,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,2,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,6,0,0,1
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,3,0,0,1
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,1,0,0,1
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,1,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,8,1,0,1
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,6,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,5,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,1,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,5,0,0,2
"C",1,2020-05-08,4,0,4,2
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,0,3,2,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,6,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,5,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,1,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,3,1,2,2
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,1,0,0,0
"C",1,2020-05-08,5,0,0,1
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,1,0,0,3
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,1,0,0,2
"C",1,2020-05-08,0,0,0,3
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,5,0,0,0
"C",1,2020-05-08,5,0,0,0
"C",1,2020-05-08,5,0,0,0
"C",1,2020-05-08,6,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,1,0,0,0
"C",1,2020-05-08,1,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,3,1,0,0
"C",1,2020-05-08,5,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,6,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,5,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,1,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,5,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,2,1,1,3
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,5,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,2,0,0,2
"C",1,2020-05-08,5,0,0,0
"C",1,2020-05-08,3,0,0,1
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,1,0,0,0
"C",1,2020-05-08,5,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,5,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,6,0,0,0
"C",1,2020-05-08,4,0,0,0
"C",1,2020-05-08,5,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,0,0,0,0
"C",1,2020-05-08,2,0,0,0
"C",1,2020-05-08,3,0,0,0
"C",1,2020-05-08,5,0,0,0
"C",1,2020-05-08,0,0,0,0
